SMMS_id,department,corridor_id,station_code,km_post,defect_code,description,severity,asset_criticality,reported_date,due_date,overdue_days,estimated_duration_min,requires_traffic_block,gang_size,traffic_gmt,status
SMMS-00025,SNT,COR-NDLS-CNB,GZB,22.45,INTERLOCKING_TEST,Interlocking periodic testing,3,4,2026-08-25,2026-09-09,0,232,True,4,95,IN_PROGRESS
SMMS-00026,SNT,COR-HWH-ASN,BWN,107.92,TRACK_CIRCUIT,Track circuit tuning / repair,3,4,2026-09-03,2026-09-18,0,115,True,3,92,IN_PROGRESS
SMMS-00027,SNT,COR-CNB-DDU,CNB,439.03,CABLE_FAULT,Signalling cable fault rectification,4,4,2026-09-02,2026-09-09,0,134,True,3,88,PENDING
SMMS-00028,SNT,COR-SBC-JTJ,BNC,2.49,TRACK_CIRCUIT,Track circuit tuning / repair,3,2,2026-08-31,2026-09-15,0,131,True,3,65,PENDING
SMMS-00029,SNT,COR-CNB-DDU,ALD,633.51,INTERLOCKING_TEST,Interlocking periodic testing,3,5,2026-08-26,2026-09-10,0,240,True,4,88,IN_PROGRESS
SMMS-00030,SNT,COR-NDLS-CNB,ETW,311.53,BLOCK_INSTRUMENT,Block instrument / telecom repair,2,3,2026-08-22,2026-09-21,0,103,False,2,95,PENDING
SMMS-00031,SNT,COR-SBC-JTJ,SBC,-1.75,AXLE_COUNTER,Axle counter reset / replacement,4,3,2026-09-02,2026-09-17,0,93,False,2,65,PENDING
SMMS-00032,SNT,COR-CNB-DDU,DDU,799.11,INTERLOCKING_TEST,Interlocking periodic testing,3,3,2026-08-23,2026-09-07,0,303,True,4,88,COMPLETED
SMMS-00033,SNT,COR-SBC-JTJ,BWT,63.76,LC_GATE_SIGNAL,Level-crossing gate signal attention,3,1,2026-08-26,2026-09-10,0,134,False,2,65,PENDING
SMMS-00034,SNT,COR-BSL-NGP,BD,210.17,CABLE_FAULT,Signalling cable fault rectification,4,2,2026-08-31,2026-09-07,0,160,True,3,84,PENDING
SMMS-00035,SNT,COR-NDLS-CNB,GZB,24.97,POINT_MACHINE,Electric point machine overhaul,5,4,2026-08-03,2026-08-10,26,181,True,3,95,PENDING
SMMS-00036,SNT,COR-NDLS-CNB,CNB,438.5,SIGNAL_LAMP_FAIL,Colour-light signal lamp failure,4,3,2026-09-05,2026-09-12,0,68,False,2,95,PENDING
SMMS-00037,SNT,COR-SBC-JTJ,BNC,2.46,LC_GATE_SIGNAL,Level-crossing gate signal attention,3,3,2026-09-04,2026-09-19,0,147,False,2,65,PENDING
SMMS-00038,SNT,COR-BRC-ST,ST,131.8,POINT_MACHINE,Electric point machine overhaul,4,3,2026-09-05,2026-09-12,0,145,True,3,78,PENDING
SMMS-00039,SNT,COR-BSL-NGP,BSL,-0.03,POINT_MACHINE,Electric point machine overhaul,3,3,2026-09-05,2026-09-12,0,178,True,3,84,IN_PROGRESS
SMMS-00040,SNT,COR-NDLS-CNB,GZB,25.38,TRACK_CIRCUIT,Track circuit tuning / repair,3,3,2026-08-08,2026-08-23,13,113,True,3,95,PENDING
SMMS-00041,SNT,COR-SBC-JTJ,SBC,-1.75,INTERLOCKING_TEST,Interlocking periodic testing,3,1,2026-07-28,2026-08-12,24,268,True,4,65,PENDING
SMMS-00042,SNT,COR-SBC-JTJ,BWT,65.71,AXLE_COUNTER,Axle counter reset / replacement,3,3,2026-08-15,2026-08-30,6,76,False,2,65,PENDING
SMMS-00043,SNT,COR-BSL-NGP,NGP,358.2,CABLE_FAULT,Signalling cable fault rectification,4,2,2026-08-26,2026-09-02,3,106,True,3,84,PENDING
SMMS-00044,SNT,COR-BSL-NGP,AK,128.78,POINT_MACHINE,Electric point machine overhaul,4,4,2026-09-03,2026-09-10,0,199,True,3,84,PENDING
SMMS-00045,SNT,COR-BSL-NGP,BD,210.56,TRACK_CIRCUIT,Track circuit tuning / repair,3,2,2026-08-11,2026-08-26,10,133,True,3,84,PENDING
SMMS-00046,SNT,COR-NDLS-CNB,ETW,308.54,CABLE_FAULT,Signalling cable fault rectification,4,4,2026-08-23,2026-08-30,6,123,True,3,95,PENDING
SMMS-00047,SNT,COR-HWH-ASN,BWN,106.49,INTERLOCKING_TEST,Interlocking periodic testing,4,4,2026-08-05,2026-08-20,16,342,True,4,92,PENDING
SMMS-00048,SNT,COR-BSL-NGP,WR,288.93,AXLE_COUNTER,Axle counter reset / replacement,3,2,2026-08-25,2026-09-09,0,99,False,2,84,PENDING
SMMS-00049,SNT,COR-BSL-NGP,NGP,359.67,LC_GATE_SIGNAL,Level-crossing gate signal attention,3,2,2026-08-12,2026-08-27,9,92,False,2,84,PENDING
SMMS-00050,SNT,COR-CNB-DDU,FTP,518.66,INTERLOCKING_TEST,Interlocking periodic testing,3,5,2026-09-05,2026-09-20,0,284,True,4,88,PENDING
SMMS-00051,SNT,COR-BSL-NGP,BD,210.4,SIGNAL_LAMP_FAIL,Colour-light signal lamp failure,3,2,2026-09-05,2026-09-12,0,57,False,2,84,PENDING
SMMS-00052,SNT,COR-BSL-NGP,AK,131.83,INTERLOCKING_TEST,Interlocking periodic testing,3,4,2026-08-27,2026-09-11,0,289,True,4,84,IN_PROGRESS
SMMS-00053,SNT,COR-SBC-JTJ,JTJ,147.62,POINT_MACHINE,Electric point machine overhaul,4,1,2026-08-16,2026-08-23,13,151,True,3,65,COMPLETED
SMMS-00054,SNT,COR-BSL-NGP,NGP,361.42,AXLE_COUNTER,Axle counter reset / replacement,3,3,2026-08-28,2026-09-12,0,119,False,2,84,PENDING
SMMS-00055,SNT,COR-SBC-JTJ,JTJ,147.06,INTERLOCKING_TEST,Interlocking periodic testing,2,2,2026-08-27,2026-09-11,0,237,True,4,65,PENDING
SMMS-00056,SNT,COR-NDLS-CNB,ETW,308.92,POINT_MACHINE,Electric point machine overhaul,5,3,2026-09-04,2026-09-11,0,183,True,3,95,PENDING
SMMS-00057,SNT,COR-NDLS-CNB,GZB,23.61,POINT_MACHINE,Electric point machine overhaul,4,3,2026-08-08,2026-08-15,21,183,True,3,95,PENDING
SMMS-00058,SNT,COR-CNB-DDU,DDU,799.87,AXLE_COUNTER,Axle counter reset / replacement,4,5,2026-09-05,2026-09-20,0,87,False,2,88,IN_PROGRESS
SMMS-00059,SNT,COR-BSL-NGP,WR,291.34,INTERLOCKING_TEST,Interlocking periodic testing,2,2,2026-08-10,2026-08-25,11,245,True,4,84,IN_PROGRESS
SMMS-00060,SNT,COR-BSL-NGP,AK,129.38,INTERLOCKING_TEST,Interlocking periodic testing,3,2,2026-08-10,2026-08-25,11,215,True,4,84,IN_PROGRESS
SMMS-00061,SNT,COR-BSL-NGP,BD,210.35,TRACK_CIRCUIT,Track circuit tuning / repair,3,3,2026-09-03,2026-09-18,0,97,True,3,84,PENDING
SMMS-00062,SNT,COR-BRC-ST,BH,71.64,CABLE_FAULT,Signalling cable fault rectification,3,3,2026-08-04,2026-08-11,25,198,True,3,78,COMPLETED
SMMS-00063,SNT,COR-NDLS-CNB,CNB,439.84,TRACK_CIRCUIT,Track circuit tuning / repair,3,5,2026-08-05,2026-08-20,16,116,True,3,95,PENDING
SMMS-00064,SNT,COR-SBC-JTJ,SBC,0.9,INTERLOCKING_TEST,Interlocking periodic testing,3,3,2026-09-01,2026-09-16,0,257,True,4,65,PENDING
SMMS-00065,SNT,COR-HWH-ASN,ASN,199.84,LC_GATE_SIGNAL,Level-crossing gate signal attention,3,4,2026-08-27,2026-09-11,0,129,False,2,92,PENDING
SMMS-00066,SNT,COR-SBC-JTJ,SBC,1.29,INTERLOCKING_TEST,Interlocking periodic testing,3,3,2026-09-01,2026-09-16,0,269,True,4,65,PENDING
SMMS-00067,SNT,COR-NDLS-CNB,TDL,206.12,SIGNAL_LAMP_FAIL,Colour-light signal lamp failure,4,3,2026-08-27,2026-09-03,2,45,False,2,95,PENDING
SMMS-00068,SNT,COR-BSL-NGP,AK,131.04,POINT_MACHINE,Electric point machine overhaul,4,4,2026-07-27,2026-08-03,33,164,True,3,84,PENDING
SMMS-00069,SNT,COR-NDLS-CNB,ALJN,128.18,BLOCK_INSTRUMENT,Block instrument / telecom repair,2,5,2026-08-30,2026-09-29,0,79,False,2,95,PENDING
SMMS-00070,SNT,COR-CNB-DDU,MZP,718.2,INTERLOCKING_TEST,Interlocking periodic testing,4,3,2026-07-28,2026-08-12,24,192,True,4,88,PENDING
SMMS-00071,SNT,COR-NDLS-CNB,ALJN,130.02,SIGNAL_LAMP_FAIL,Colour-light signal lamp failure,4,3,2026-08-15,2026-08-22,14,60,False,2,95,PENDING
SMMS-00072,SNT,COR-BRC-ST,BH,68.61,SIGNAL_LAMP_FAIL,Colour-light signal lamp failure,4,3,2026-09-05,2026-09-12,0,68,False,2,78,PENDING
SMMS-00073,SNT,COR-CNB-DDU,MZP,720.78,CABLE_FAULT,Signalling cable fault rectification,5,4,2026-09-02,2026-09-09,0,160,True,3,88,PENDING
SMMS-00074,SNT,COR-SBC-JTJ,JTJ,146.62,AXLE_COUNTER,Axle counter reset / replacement,3,2,2026-08-25,2026-09-09,0,89,False,2,65,IN_PROGRESS
SMMS-00075,SNT,COR-NDLS-CNB,NDLS,-0.85,INTERLOCKING_TEST,Interlocking periodic testing,3,5,2026-08-22,2026-09-06,0,260,True,4,95,PENDING
SMMS-00076,SNT,COR-BSL-NGP,BSL,-0.58,AXLE_COUNTER,Axle counter reset / replacement,4,4,2026-09-03,2026-09-18,0,70,False,2,84,PENDING
SMMS-00077,SNT,COR-BSL-NGP,NGP,359.73,LC_GATE_SIGNAL,Level-crossing gate signal attention,2,2,2026-08-20,2026-09-04,1,113,False,2,84,IN_PROGRESS
SMMS-00078,SNT,COR-CNB-DDU,FTP,517.43,BLOCK_INSTRUMENT,Block instrument / telecom repair,2,5,2026-08-20,2026-09-19,0,77,False,2,88,PENDING
SMMS-00079,SNT,COR-SBC-JTJ,BNC,2.2199999999999998,SIGNAL_LAMP_FAIL,Colour-light signal lamp failure,4,2,2026-08-26,2026-09-02,3,58,False,2,65,PENDING
SMMS-00080,SNT,COR-NDLS-CNB,CNB,440.25,POINT_MACHINE,Electric point machine overhaul,4,4,2026-07-24,2026-07-31,36,132,True,3,95,PENDING
SMMS-00081,SNT,COR-CNB-DDU,CNB,439.54,POINT_MACHINE,Electric point machine overhaul,4,5,2026-08-25,2026-09-01,4,144,True,3,88,IN_PROGRESS
SMMS-00082,SNT,COR-BSL-NGP,WR,289.02,AXLE_COUNTER,Axle counter reset / replacement,4,4,2026-08-29,2026-09-13,0,83,False,2,84,PENDING
SMMS-00083,SNT,COR-SBC-JTJ,BNC,4.6899999999999995,SIGNAL_LAMP_FAIL,Colour-light signal lamp failure,4,1,2026-08-23,2026-08-30,6,64,False,2,65,PENDING
SMMS-00084,SNT,COR-BRC-ST,ST,129.25,CABLE_FAULT,Signalling cable fault rectification,4,2,2026-09-01,2026-09-08,0,127,True,3,78,COMPLETED
SMMS-00085,SNT,COR-NDLS-CNB,GZB,23.62,AXLE_COUNTER,Axle counter reset / replacement,3,3,2026-08-26,2026-09-10,0,100,False,2,95,PENDING
SMMS-00086,SNT,COR-HWH-ASN,HWH,-1.41,BLOCK_INSTRUMENT,Block instrument / telecom repair,2,4,2026-08-27,2026-09-26,0,104,False,2,92,PENDING
SMMS-00087,SNT,COR-BSL-NGP,WR,291.74,AXLE_COUNTER,Axle counter reset / replacement,4,3,2026-08-04,2026-08-19,17,113,False,2,84,PENDING
SMMS-00088,SNT,COR-CNB-DDU,ALD,633.85,SIGNAL_LAMP_FAIL,Colour-light signal lamp failure,4,3,2026-09-01,2026-09-08,0,65,False,2,88,IN_PROGRESS
SMMS-00089,SNT,COR-CNB-DDU,MZP,721.94,INTERLOCKING_TEST,Interlocking periodic testing,3,3,2026-09-03,2026-09-18,0,211,True,4,88,PENDING
SMMS-00090,SNT,COR-BSL-NGP,WR,289.85,CABLE_FAULT,Signalling cable fault rectification,4,4,2026-08-23,2026-08-30,6,161,True,3,84,PENDING
SMMS-00091,SNT,COR-SBC-JTJ,BWT,63.41,SIGNAL_LAMP_FAIL,Colour-light signal lamp failure,4,3,2026-07-22,2026-07-29,38,73,False,2,65,PENDING
SMMS-00092,SNT,COR-SBC-JTJ,SBC,-0.28,CABLE_FAULT,Signalling cable fault rectification,5,1,2026-09-05,2026-09-12,0,179,True,3,65,PENDING
SMMS-00093,SNT,COR-HWH-ASN,BWN,107.61,TRACK_CIRCUIT,Track circuit tuning / repair,3,3,2026-09-02,2026-09-17,0,89,True,3,92,PENDING
SMMS-00094,SNT,COR-BSL-NGP,NGP,359.76,TRACK_CIRCUIT,Track circuit tuning / repair,3,4,2026-08-09,2026-08-24,12,75,True,3,84,PENDING
SMMS-00095,SNT,COR-SBC-JTJ,SBC,-0.28,POINT_MACHINE,Electric point machine overhaul,4,2,2026-09-05,2026-09-12,0,140,True,3,65,COMPLETED
SMMS-00096,SNT,COR-NDLS-CNB,ETW,309.27,CABLE_FAULT,Signalling cable fault rectification,5,4,2026-08-26,2026-09-02,3,133,True,3,95,PENDING
SMMS-00097,SNT,COR-NDLS-CNB,GZB,25.22,BLOCK_INSTRUMENT,Block instrument / telecom repair,3,5,2026-09-03,2026-10-03,0,83,False,2,95,PENDING
SMMS-00098,SNT,COR-SBC-JTJ,BWT,66.91,AXLE_COUNTER,Axle counter reset / replacement,3,1,2026-09-03,2026-09-18,0,97,False,2,65,PENDING
SMMS-00099,SNT,COR-BSL-NGP,BSL,1.52,TRACK_CIRCUIT,Track circuit tuning / repair,3,3,2026-08-19,2026-09-03,2,130,True,3,84,COMPLETED
SMMS-00100,SNT,COR-BRC-ST,BH,71.14,AXLE_COUNTER,Axle counter reset / replacement,2,2,2026-08-28,2026-09-12,0,87,False,2,78,PENDING
SMMS-00101,SNT,COR-NDLS-CNB,ETW,308.37,AXLE_COUNTER,Axle counter reset / replacement,3,3,2026-09-04,2026-09-19,0,81,False,2,95,PENDING
SMMS-00102,SNT,COR-BRC-ST,ST,129.51,BLOCK_INSTRUMENT,Block instrument / telecom repair,2,3,2026-08-25,2026-09-24,0,82,False,2,78,PENDING
SMMS-00103,SNT,COR-BSL-NGP,BD,209.43,SIGNAL_LAMP_FAIL,Colour-light signal lamp failure,4,2,2026-07-22,2026-07-29,38,68,False,2,84,PENDING
SMMS-00104,SNT,COR-NDLS-CNB,CNB,439.26,AXLE_COUNTER,Axle counter reset / replacement,3,3,2026-08-17,2026-09-01,4,100,False,2,95,PENDING
SMMS-00105,SNT,COR-BRC-ST,BRC,-1.81,CABLE_FAULT,Signalling cable fault rectification,4,2,2026-09-01,2026-09-08,0,163,True,3,78,IN_PROGRESS
SMMS-00106,SNT,COR-NDLS-CNB,ETW,308.51,BLOCK_INSTRUMENT,Block instrument / telecom repair,2,4,2026-09-04,2026-10-04,0,72,False,2,95,COMPLETED
SMMS-00107,SNT,COR-HWH-ASN,DGR,158.69,TRACK_CIRCUIT,Track circuit tuning / repair,3,5,2026-07-29,2026-08-13,23,99,True,3,92,PENDING
SMMS-00108,SNT,COR-SBC-JTJ,BNC,3.19,INTERLOCKING_TEST,Interlocking periodic testing,3,3,2026-09-02,2026-09-17,0,258,True,4,65,PENDING
SMMS-00109,SNT,COR-NDLS-CNB,TDL,205.73,AXLE_COUNTER,Axle counter reset / replacement,3,5,2026-08-15,2026-08-30,6,113,False,2,95,PENDING
SMMS-00110,SNT,COR-CNB-DDU,ALD,633.4,POINT_MACHINE,Electric point machine overhaul,4,5,2026-08-12,2026-08-19,17,166,True,3,88,PENDING
SMMS-00111,SNT,COR-CNB-DDU,DDU,801.92,BLOCK_INSTRUMENT,Block instrument / telecom repair,2,3,2026-08-13,2026-09-12,0,104,False,2,88,PENDING
SMMS-00112,SNT,COR-SBC-JTJ,BWT,66.39,SIGNAL_LAMP_FAIL,Colour-light signal lamp failure,4,3,2026-09-03,2026-09-10,0,67,False,2,65,PENDING
SMMS-00113,SNT,COR-SBC-JTJ,JTJ,147.91,LC_GATE_SIGNAL,Level-crossing gate signal attention,3,3,2026-07-22,2026-08-06,30,133,False,2,65,PENDING
SMMS-00114,SNT,COR-BSL-NGP,BD,209.34,TRACK_CIRCUIT,Track circuit tuning / repair,3,4,2026-08-24,2026-09-08,0,91,True,3,84,PENDING
SMMS-00115,SNT,COR-SBC-JTJ,SBC,0.5,TRACK_CIRCUIT,Track circuit tuning / repair,3,2,2026-08-27,2026-09-11,0,112,True,3,65,PENDING
SMMS-00116,SNT,COR-BSL-NGP,NGP,360.38,LC_GATE_SIGNAL,Level-crossing gate signal attention,2,2,2026-08-08,2026-08-23,13,118,False,2,84,PENDING
SMMS-00117,SNT,COR-NDLS-CNB,ALJN,131.09,CABLE_FAULT,Signalling cable fault rectification,4,5,2026-08-28,2026-09-04,1,102,True,3,95,PENDING
SMMS-00118,SNT,COR-NDLS-CNB,GZB,24.62,INTERLOCKING_TEST,Interlocking periodic testing,3,3,2026-08-20,2026-09-04,1,243,True,4,95,PENDING
SMMS-00119,SNT,COR-NDLS-CNB,ETW,311.81,TRACK_CIRCUIT,Track circuit tuning / repair,3,5,2026-08-30,2026-09-14,0,134,True,3,95,PENDING
SMMS-00120,SNT,COR-NDLS-CNB,ALJN,131.06,TRACK_CIRCUIT,Track circuit tuning / repair,3,5,2026-07-27,2026-08-11,25,136,True,3,95,PENDING
SMMS-00121,SNT,COR-BRC-ST,ANND,34.81,SIGNAL_LAMP_FAIL,Colour-light signal lamp failure,4,3,2026-07-30,2026-08-06,30,52,False,2,78,IN_PROGRESS
SMMS-00122,SNT,COR-HWH-ASN,BWN,108.15,TRACK_CIRCUIT,Track circuit tuning / repair,3,5,2026-07-22,2026-08-06,30,116,True,3,92,PENDING
SMMS-00123,SNT,COR-CNB-DDU,MZP,719.68,BLOCK_INSTRUMENT,Block instrument / telecom repair,2,3,2026-08-23,2026-09-22,0,98,False,2,88,COMPLETED
SMMS-00124,SNT,COR-CNB-DDU,FTP,515.42,CABLE_FAULT,Signalling cable fault rectification,4,3,2026-09-05,2026-09-12,0,170,True,3,88,PENDING
SMMS-00125,SNT,COR-CNB-DDU,MZP,719.63,INTERLOCKING_TEST,Interlocking periodic testing,3,3,2026-08-26,2026-09-10,0,265,True,4,88,PENDING
SMMS-00126,SNT,COR-SBC-JTJ,KPN,108.96,POINT_MACHINE,Electric point machine overhaul,4,3,2026-08-07,2026-08-14,22,206,True,3,65,IN_PROGRESS
SMMS-00127,SNT,COR-SBC-JTJ,KPN,109.49,INTERLOCKING_TEST,Interlocking periodic testing,3,2,2026-08-15,2026-08-30,6,239,True,4,65,PENDING
SMMS-00128,SNT,COR-NDLS-CNB,ETW,310.13,CABLE_FAULT,Signalling cable fault rectification,4,3,2026-09-05,2026-09-12,0,130,True,3,95,PENDING
SMMS-00129,SNT,COR-SBC-JTJ,BWT,65.59,BLOCK_INSTRUMENT,Block instrument / telecom repair,2,1,2026-07-28,2026-08-27,9,83,False,2,65,PENDING
SMMS-00130,SNT,COR-BRC-ST,ANND,34.14,CABLE_FAULT,Signalling cable fault rectification,4,3,2026-08-10,2026-08-17,19,183,True,3,78,PENDING
SMMS-00131,SNT,COR-SBC-JTJ,BWT,64.45,SIGNAL_LAMP_FAIL,Colour-light signal lamp failure,4,3,2026-08-16,2026-08-23,13,65,False,2,65,PENDING
SMMS-00132,SNT,COR-NDLS-CNB,ALJN,131.25,POINT_MACHINE,Electric point machine overhaul,4,4,2026-09-02,2026-09-09,0,161,True,3,95,PENDING
SMMS-00133,SNT,COR-BSL-NGP,BD,210.75,INTERLOCKING_TEST,Interlocking periodic testing,3,3,2026-08-26,2026-09-10,0,207,True,4,84,IN_PROGRESS
SMMS-00134,SNT,COR-HWH-ASN,BWN,106.64,AXLE_COUNTER,Axle counter reset / replacement,3,5,2026-08-31,2026-09-15,0,70,False,2,92,PENDING
SMMS-00135,SNT,COR-HWH-ASN,HWH,1.68,INTERLOCKING_TEST,Interlocking periodic testing,3,3,2026-07-30,2026-08-14,22,222,True,4,92,PENDING
SMMS-00136,SNT,COR-HWH-ASN,BWN,105.24,SIGNAL_LAMP_FAIL,Colour-light signal lamp failure,4,4,2026-08-13,2026-08-20,16,41,False,2,92,PENDING
SMMS-00137,SNT,COR-NDLS-CNB,CNB,441.22,POINT_MACHINE,Electric point machine overhaul,4,4,2026-07-22,2026-07-29,38,203,True,3,95,PENDING
SMMS-00138,SNT,COR-NDLS-CNB,ALJN,131.45,BLOCK_INSTRUMENT,Block instrument / telecom repair,1,3,2026-08-29,2026-09-28,0,84,False,2,95,COMPLETED
SMMS-00139,SNT,COR-BSL-NGP,NGP,361.21,CABLE_FAULT,Signalling cable fault rectification,4,2,2026-08-28,2026-09-04,1,150,True,3,84,PENDING
SMMS-00140,SNT,COR-HWH-ASN,ASN,199.01,CABLE_FAULT,Signalling cable fault rectification,5,5,2026-08-09,2026-08-16,20,152,True,3,92,PENDING
SMMS-00141,SNT,COR-BSL-NGP,AK,131.66,BLOCK_INSTRUMENT,Block instrument / telecom repair,2,2,2026-08-31,2026-09-30,0,80,False,2,84,PENDING
SMMS-00142,SNT,COR-BRC-ST,ST,131.38,POINT_MACHINE,Electric point machine overhaul,4,3,2026-09-05,2026-09-12,0,114,True,3,78,PENDING
SMMS-00143,SNT,COR-HWH-ASN,ASN,201.3,BLOCK_INSTRUMENT,Block instrument / telecom repair,2,5,2026-09-02,2026-10-02,0,95,False,2,92,PENDING
SMMS-00144,SNT,COR-SBC-JTJ,BWT,64.95,TRACK_CIRCUIT,Track circuit tuning / repair,3,1,2026-08-08,2026-08-23,13,113,True,3,65,PENDING
SMMS-00145,SNT,COR-HWH-ASN,HWH,-0.39,INTERLOCKING_TEST,Interlocking periodic testing,2,4,2026-08-27,2026-09-11,0,229,True,4,92,PENDING
SMMS-00146,SNT,COR-BSL-NGP,BD,209.44,SIGNAL_LAMP_FAIL,Colour-light signal lamp failure,4,2,2026-08-24,2026-08-31,5,48,False,2,84,COMPLETED
SMMS-00147,SNT,COR-SBC-JTJ,BWT,66.64,BLOCK_INSTRUMENT,Block instrument / telecom repair,2,2,2026-09-02,2026-10-02,0,75,False,2,65,PENDING
SMMS-00148,SNT,COR-SBC-JTJ,KPN,110.7,SIGNAL_LAMP_FAIL,Colour-light signal lamp failure,4,2,2026-09-05,2026-09-12,0,55,False,2,65,PENDING
SMMS-00149,SNT,COR-HWH-ASN,BWN,108.64,TRACK_CIRCUIT,Track circuit tuning / repair,3,4,2026-08-18,2026-09-02,3,116,True,3,92,COMPLETED
SMMS-00150,SNT,COR-NDLS-CNB,GZB,22.62,CABLE_FAULT,Signalling cable fault rectification,4,5,2026-08-27,2026-09-03,2,187,True,3,95,PENDING
SMMS-00151,SNT,COR-CNB-DDU,MZP,719.32,BLOCK_INSTRUMENT,Block instrument / telecom repair,1,5,2026-09-03,2026-10-03,0,96,False,2,88,PENDING
SMMS-00152,SNT,COR-NDLS-CNB,ALJN,130.51,POINT_MACHINE,Electric point machine overhaul,4,4,2026-07-27,2026-08-03,33,191,True,3,95,PENDING
SMMS-00153,SNT,COR-BSL-NGP,BD,210.22,CABLE_FAULT,Signalling cable fault rectification,3,4,2026-08-29,2026-09-05,0,130,True,3,84,COMPLETED
